Tree,Tree,Geno,Row,Col,Xgal,Csub,Lsp,Chol,Xmon,Pmel,Pads,Pund,Rsp
N1.8,N1.8,,3,7,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,3,9,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,4,2,1,1,0,0,0,0,0,0,0
N1.8,N1.8,,4,4,1,0,0,0,0,0,0,0,0
N1.8,N1.8,,4,6,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,4,8,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,4,10,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,5,1,1,1,0,0,0,0,0,0,0
N1.8,N1.8,,5,3,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,5,5,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,5,7,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,5,9,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,6,2,1,1,0,0,0,0,0,0,0
N1.8,N1.8,,6,4,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,6,6,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,6,8,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,6,10,1,0,0,0,0,0,0,0,0
N1.8,N1.8,,7,1,1,0,0,0,0,0,0,0,0
N1.8,N1.8,,7,3,1,1,0,0,0,0,0,0,0
N1.8,N1.8,,7,5,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,7,7,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,7,9,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,8,2,1,0,0,0,0,0,0,0,0
N1.8,N1.8,,8,4,1,1,0,0,0,0,0,0,0
N1.8,N1.8,,8,6,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,8,8,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,8,10,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,9,1,0,0,0,0,0,0,0,0,0
N1.8,N1.8,,9,3,1,1,0,0,0,0,0,0,0
N1.8,N1.8,,9,5,0,0,0,0,0,0,0,0,0
