"leaf.type","tree","geno","shoot","leaf","leaves","pb.upper","pb.lower","pb.hole","pb.woody","pb.woody.pred","pb.abort","pb.pred","chew.edge","chew.holes","scrape","fish.eye","tip.miner","edge.miner","mid.miner","fungal","chomp","pinch","thrips","edge.fold","tier","mite"
"live","np3.09",1008,10,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.09",1008,10,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np3.09",1008,10,4,50,1,,,,,,,,,,,,,,1,,,,,,
"live","np3.09",1008,10,5,50,,,,,,,,,,,,,,,1,,,1,,,
"live","np2.10",996,1,1,50,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.10",996,1,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,1,3,50,,,,,,,,1,,,,,,,,,,,,,
"live","np2.10",996,1,4,50,,,,,,1,,,,,,,,,,,,,,,
"live","np2.10",996,1,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,2,1,50,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.10",996,2,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,2,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,2,4,50,,,,,,,,,,,,,,,1,,,,,,
"live","np2.10",996,2,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,3,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,3,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,3,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,3,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,3,5,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,4,1,50,,,,,,,,1,,,,,,,,,,,,,
"live","np2.10",996,4,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,4,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,4,4,50,,,,,,,,,,,,,,,1,,,,,,
"live","np2.10",996,4,5,50,,,,,,,,,,1,,,,,1,,,,,,
"live","np2.10",996,5,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,5,2,50,,,,,,,,,,,,,,,1,,,,,,
"live","np2.10",996,5,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,5,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,5,5,50,,,,,,,,,,,,,,,1,,,,,,
"live","np2.10",996,6,1,50,,,,,,,,,,1,,,,,,,,,,,
"live","np2.10",996,6,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,6,3,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,6,4,50,,,,,,,,,,1,,,,,,,,,,,
"live","np2.10",996,6,5,50,,,,,,,,,,1,,,,,,,,,,,
"live","np2.10",996,7,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,7,2,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,7,3,50,,,,,,,,1,,,,,,,1,,,,,,
"live","np2.10",996,7,4,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,7,5,50,,,,,,,,,,,,,,,1,,,,,,
"live","np2.10",996,8,1,50,,,,,,,,,,,,,,,,,,,,,
"live","np2.10",996,8,2,50,,,,,,,,,,,,,,,1,,,,,,
"live","np2.10",996,8,3,50,,,,,,,,,,,,,,,1,,,,,,
